Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,1442,3013.0,2.089
Triple,3B,1188,2006.0,1.689
Interference,INT,6,9.0,1.500
Double,2B,4373,6310.0,1.443
Sac Bunt,SAC,1380,1741.0,1.262
Wild Pitch,WP,355,447.0,1.259
Single,1B,16179,18971.0,1.173
Error,RBOE,1403,1615.0,1.151
Intentional Walk,IBB,195,209.0,1.072
Fielder's Choice,FC,661,705.0,1.067
Hit by Pitch,HBP,382,403.0,1.055
Non-Intentional Walk,NIBB,6805,6903.0,1.014
Balk,BK,42,42.0,1.000
Passed Ball,PB,157,148.0,0.943
Defensive Indifference,DI,67,62.0,0.925
Stolen Base,SB,880,666.0,0.757
Bunt,BUNT,339,236.0,0.696
Other,OTHER,42,23.0,0.548
Foul Error,FLE,64,30.0,0.469
Pickoff,PK,251,96.0,0.382
Out (on Batted Ball),OUT,47826,12762.0,0.267
Strikeout,K,7282,1784.0,0.245
Caught Stealing,CS,695,85.0,0.122
