bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.451,0.233,0.084,19415,13478,10458
1B _ _,0.822,0.480,0.193,5080,5703,5688
_ 2B _,1.088,0.635,0.319,1137,2395,3072
_ _ 3B,1.312,0.932,0.343,276,785,1058
1B 2B _,1.475,0.881,0.410,1277,2073,2959
1B _ 3B,1.676,1.157,0.451,491,976,1031
_ 2B 3B,1.874,1.294,0.592,286,854,726
1B 2B 3B,2.483,1.569,0.722,323,817,935
