Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3923,7656.0,1.952
Triple,3B,813,1370.0,1.685
Double,2B,6721,8699.0,1.294
Error,RBOE,1454,1571.0,1.080
Single,1B,23574,24187.0,1.026
Passed Ball,PB,313,309.0,0.987
Sac Bunt,SAC,1938,1910.0,0.986
Wild Pitch,WP,1213,1167.0,0.962
Hit by Pitch,HBP,1180,1123.0,0.952
Fielder's Choice,FC,480,417.0,0.869
Intentional Walk,IBB,980,851.0,0.868
Non-Intentional Walk,NIBB,12604,10808.0,0.858
Balk,BK,191,162.0,0.848
Stolen Base,SB,2472,2061.0,0.834
Defensive Indifference,DI,44,27.0,0.614
Interference,INT,12,7.0,0.583
Foul Error,FLE,47,24.0,0.511
Bunt,BUNT,765,368.0,0.481
Pickoff,PK,537,186.0,0.346
Other,OTHER,53,16.0,0.302
Out (on Batted Ball),OUT,71765,16503.0,0.230
Strikeout,K,24226,5149.0,0.213
Caught Stealing,CS,835,140.0,0.168
