bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.471,0.251,0.090,34225,24210,18968
1B _ _,0.827,0.518,0.208,8096,9041,9046
_ 2B _,1.083,0.674,0.332,2371,4783,5590
_ _ 3B,1.271,0.886,0.359,575,1564,2332
1B 2B _,1.439,0.891,0.463,1919,3646,4790
1B _ 3B,1.676,1.073,0.438,786,1654,2108
_ 2B 3B,1.858,1.295,0.566,478,1377,1443
1B 2B 3B,2.274,1.429,0.718,471,1293,1615
