bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.554,0.300,0.111,20779,14203,10911
1B _ _,0.947,0.573,0.253,5542,6308,6102
_ 2B _,1.190,0.764,0.363,1387,2886,3533
_ _ 3B,1.590,1.063,0.409,388,1024,1455
1B 2B _,1.651,1.034,0.501,1304,2390,3121
1B _ 3B,1.837,1.284,0.589,596,1202,1427
_ 2B 3B,2.010,1.461,0.624,315,975,884
1B 2B 3B,2.505,1.595,0.847,329,912,1089
