Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5873,11169.0,1.902
Triple,3B,777,1267.0,1.631
Double,2B,8157,10591.0,1.298
Error,RBOE,1432,1601.0,1.118
Balk,BK,151,158.0,1.046
Passed Ball,PB,324,325.0,1.003
Single,1B,25576,24712.0,0.966
Interference,INT,42,40.0,0.952
Fielder's Choice,FC,414,391.0,0.944
Wild Pitch,WP,1576,1465.0,0.930
Sac Bunt,SAC,1365,1204.0,0.882
Hit by Pitch,HBP,1698,1475.0,0.869
Intentional Walk,IBB,877,756.0,0.862
Non-Intentional Walk,NIBB,14281,11781.0,0.825
Stolen Base,SB,2146,1706.0,0.795
Bunt,BUNT,546,256.0,0.469
Foul Error,FLE,40,17.0,0.425
Pickoff,PK,487,203.0,0.417
Defensive Indifference,DI,147,50.0,0.340
Other,OTHER,91,25.0,0.275
Out (on Batted Ball),OUT,79082,17268.0,0.218
Strikeout,K,38299,7665.0,0.200
Caught Stealing,CS,626,79.0,0.126
