bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.462,0.243,0.092,34395,24459,19179
1B _ _,0.835,0.482,0.211,8027,9148,9284
_ 2B _,1.092,0.645,0.320,2355,4541,5587
_ _ 3B,1.229,0.902,0.366,507,1482,2078
1B 2B _,1.486,0.868,0.435,1961,3691,4881
1B _ 3B,1.666,1.165,0.435,863,1693,2053
_ 2B 3B,1.936,1.403,0.603,467,1193,1261
1B 2B 3B,2.319,1.511,0.793,514,1381,1519
