Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,1267,2640.0,2.084
Triple,3B,1073,1796.0,1.674
Double,2B,4150,5870.0,1.414
Passed Ball,PB,127,162.0,1.276
Wild Pitch,WP,349,405.0,1.160
Intentional Walk,IBB,260,297.0,1.142
Single,1B,16047,17708.0,1.104
Fielder's Choice,FC,714,764.0,1.070
Balk,BK,44,47.0,1.068
Hit by Pitch,HBP,379,393.0,1.037
Error,RBOE,1334,1377.0,1.032
Sac Bunt,SAC,1650,1692.0,1.025
Non-Intentional Walk,NIBB,7161,6702.0,0.936
Stolen Base,SB,1107,823.0,0.743
Defensive Indifference,DI,53,38.0,0.717
Foul Error,FLE,78,49.0,0.628
Bunt,BUNT,411,218.0,0.530
Interference,INT,2,1.0,0.500
Other,OTHER,73,27.0,0.370
Pickoff,PK,312,115.0,0.369
Out (on Batted Ball),OUT,48835,12014.0,0.246
Strikeout,K,6576,1535.0,0.233
Caught Stealing,CS,836,59.0,0.071
