bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.481,0.259,0.098,43398,31343,24827
1B _ _,0.852,0.505,0.221,9544,11230,10961
_ 2B _,1.070,0.656,0.318,3271,5552,6960
_ _ 3B,1.466,0.944,0.309,470,1872,2858
1B 2B _,1.411,0.881,0.424,2282,4339,5314
1B _ 3B,1.771,1.158,0.484,846,1986,2506
_ 2B 3B,1.943,1.347,0.548,614,1508,1781
1B 2B 3B,2.175,1.499,0.781,628,1586,1898
