Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3174,5890.0,1.856
Triple,3B,1014,1599.0,1.577
Double,2B,6223,7872.0,1.265
Error,RBOE,1912,1985.0,1.038
Single,1B,25357,23961.0,0.945
Sac Bunt,SAC,1669,1562.0,0.936
Passed Ball,PB,307,281.0,0.915
Wild Pitch,WP,998,899.0,0.901
Intentional Walk,IBB,1228,1093.0,0.890
Hit by Pitch,HBP,696,595.0,0.855
Balk,BK,262,220.0,0.840
Stolen Base,SB,3128,2413.0,0.771
Non-Intentional Walk,NIBB,11666,8740.0,0.749
Fielder's Choice,FC,424,317.0,0.748
Interference,INT,24,17.0,0.708
Defensive Indifference,DI,3,2.0,0.667
Foul Error,FLE,63,41.0,0.651
Bunt,BUNT,271,135.0,0.498
Pickoff,PK,649,258.0,0.398
Out (on Batted Ball),OUT,79764,16488.0,0.207
Other,OTHER,27,5.0,0.185
Strikeout,K,20726,3796.0,0.183
Caught Stealing,CS,1229,195.0,0.159
