bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.544,0.288,0.105,20377,13849,10591
1B _ _,0.952,0.567,0.250,5496,6321,6025
_ 2B _,1.235,0.800,0.357,1390,2810,3606
_ _ 3B,1.490,1.000,0.416,412,1089,1477
1B 2B _,1.682,1.039,0.487,1266,2241,2889
1B _ 3B,1.891,1.264,0.579,622,1297,1411
_ 2B 3B,1.938,1.459,0.718,353,970,900
1B 2B 3B,2.475,1.573,0.793,360,808,970
