bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.479,0.253,0.099,43484,31674,25552
1B _ _,0.862,0.511,0.229,9446,11123,11050
_ 2B _,1.111,0.659,0.305,3050,5053,6515
_ _ 3B,1.413,0.968,0.347,504,1805,2783
1B 2B _,1.481,0.889,0.432,2376,4152,5211
1B _ 3B,1.723,1.121,0.441,847,1895,2516
_ 2B 3B,2.049,1.360,0.563,569,1340,1729
1B 2B 3B,2.338,1.602,0.783,648,1466,1776
