Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4778,9473.0,1.983
Triple,3B,833,1369.0,1.643
Double,2B,7750,10386.0,1.340
Error,RBOE,1744,1970.0,1.130
Single,1B,26892,28142.0,1.046
Hit by Pitch,HBP,1361,1401.0,1.029
Passed Ball,PB,281,286.0,1.018
Sac Bunt,SAC,2058,2073.0,1.007
Wild Pitch,WP,1348,1350.0,1.001
Intentional Walk,IBB,1189,1111.0,0.934
Non-Intentional Walk,NIBB,14142,12726.0,0.900
Fielder's Choice,FC,443,384.0,0.867
Stolen Base,SB,2726,2325.0,0.853
Balk,BK,192,154.0,0.802
Interference,INT,19,15.0,0.789
Defensive Indifference,DI,73,43.0,0.589
Bunt,BUNT,743,348.0,0.468
Pickoff,PK,525,203.0,0.387
Foul Error,FLE,60,21.0,0.350
Other,OTHER,45,13.0,0.289
Out (on Batted Ball),OUT,80397,19437.0,0.242
Strikeout,K,27867,5968.0,0.214
Caught Stealing,CS,950,150.0,0.158
