Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3202,6199.0,1.936
Triple,3B,690,1154.0,1.672
Interference,INT,11,17.0,1.545
Double,2B,5527,7363.0,1.332
Passed Ball,PB,232,264.0,1.138
Error,RBOE,1230,1332.0,1.083
Single,1B,18829,18878.0,1.003
Wild Pitch,WP,1031,1025.0,0.994
Sac Bunt,SAC,1579,1515.0,0.959
Hit by Pitch,HBP,844,803.0,0.951
Defensive Indifference,DI,43,38.0,0.884
Intentional Walk,IBB,924,800.0,0.866
Non-Intentional Walk,NIBB,9702,8341.0,0.860
Stolen Base,SB,1932,1640.0,0.849
Balk,BK,170,142.0,0.835
Fielder's Choice,FC,332,275.0,0.828
Foul Error,FLE,40,22.0,0.550
Pickoff,PK,436,197.0,0.452
Bunt,BUNT,597,262.0,0.439
Other,OTHER,34,10.0,0.294
Out (on Batted Ball),OUT,57213,13571.0,0.237
Strikeout,K,18828,4088.0,0.217
Caught Stealing,CS,750,123.0,0.164
