bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.442,0.234,0.091,19069,13218,10207
1B _ _,0.798,0.465,0.195,4884,5528,5573
_ 2B _,1.003,0.650,0.314,1159,2550,3035
_ _ 3B,1.340,0.914,0.353,303,821,1096
1B 2B _,1.471,0.872,0.391,1102,2160,3032
1B _ 3B,1.686,1.131,0.432,420,872,1035
_ 2B 3B,2.008,1.305,0.565,238,747,743
1B 2B 3B,2.219,1.474,0.632,260,859,1023
