bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.505,0.267,0.091,19556,13463,10413
1B _ _,0.874,0.542,0.208,5229,5883,5777
_ 2B _,1.208,0.707,0.352,1214,2583,3078
_ _ 3B,1.307,0.971,0.372,323,909,1199
1B 2B _,1.558,0.967,0.446,1192,2303,3104
1B _ 3B,1.729,1.233,0.502,457,969,1098
_ 2B 3B,2.097,1.476,0.631,300,808,770
1B 2B 3B,2.340,1.612,0.765,309,877,1037
