bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.579,0.304,0.111,20895,14059,10865
1B _ _,0.982,0.603,0.240,5789,6488,6113
_ 2B _,1.272,0.764,0.381,1436,2868,3540
_ _ 3B,1.585,1.066,0.424,439,1204,1741
1B 2B _,1.657,1.046,0.456,1308,2319,2610
1B _ 3B,2.066,1.317,0.539,694,1349,1420
_ 2B 3B,2.252,1.538,0.693,412,1085,1084
1B 2B 3B,2.574,1.829,0.792,340,840,961
