bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.541,0.290,0.117,43521,31272,25064
1B _ _,0.935,0.558,0.246,9749,11325,10978
_ 2B _,1.172,0.714,0.350,3440,5447,7245
_ _ 3B,1.524,0.983,0.365,557,2003,2842
1B 2B _,1.537,0.910,0.432,2491,4341,5636
1B _ 3B,1.861,1.279,0.514,981,1991,2532
_ 2B 3B,2.059,1.429,0.594,649,1678,1817
1B 2B 3B,2.384,1.618,0.799,724,1684,2037
