bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.553,0.294,0.108,20223,13720,10313
1B _ _,0.945,0.575,0.255,5492,6455,6191
_ 2B _,1.294,0.784,0.380,1325,2758,3388
_ _ 3B,1.581,1.118,0.391,339,968,1438
1B 2B _,1.581,1.059,0.500,1267,2298,2924
1B _ 3B,1.875,1.261,0.605,593,1333,1557
_ 2B 3B,2.212,1.563,0.755,306,914,938
1B 2B 3B,2.500,1.689,0.833,338,827,983
