bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.540,0.292,0.111,40543,28786,22832
1B _ _,0.921,0.557,0.230,9466,10626,10477
_ 2B _,1.178,0.706,0.330,3052,5512,6710
_ _ 3B,1.434,1.026,0.385,505,1814,2844
1B 2B _,1.558,0.970,0.445,2435,4305,5306
1B _ 3B,1.875,1.179,0.500,885,1987,2531
_ 2B 3B,1.964,1.338,0.552,616,1558,1734
1B 2B 3B,2.416,1.629,0.757,627,1605,1917
