bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.456,0.238,0.088,43350,31451,25041
1B _ _,0.821,0.481,0.197,9541,11238,11246
_ 2B _,1.075,0.624,0.313,3040,5143,6556
_ _ 3B,1.382,0.941,0.332,474,1786,2797
1B 2B _,1.389,0.835,0.396,2480,4167,5175
1B _ 3B,1.761,1.090,0.406,870,1859,2456
_ 2B 3B,1.901,1.366,0.502,628,1478,1718
1B 2B 3B,2.372,1.510,0.638,632,1491,1728
