bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.520,0.269,0.101,19551,13432,10414
1B _ _,0.934,0.523,0.223,5293,5863,5837
_ 2B _,1.096,0.757,0.355,1212,2378,2967
_ _ 3B,1.387,0.883,0.405,300,815,1094
1B 2B _,1.619,0.957,0.444,1413,2373,3273
1B _ 3B,1.830,1.245,0.547,483,933,1109
_ 2B 3B,2.028,1.381,0.631,281,812,738
1B 2B 3B,2.432,1.567,0.759,391,917,1075
