bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.543,0.286,0.107,20305,13903,10724
1B _ _,0.973,0.565,0.233,5409,6282,6200
_ 2B _,1.127,0.782,0.346,1391,2695,3449
_ _ 3B,1.363,0.961,0.404,377,969,1198
1B 2B _,1.703,1.036,0.464,1248,2389,3273
1B _ 3B,1.793,1.306,0.533,608,1167,1245
_ 2B 3B,2.048,1.527,0.636,315,866,799
1B 2B 3B,2.513,1.642,0.810,335,882,1028
