Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4757,8883.0,1.867
Triple,3B,914,1350.0,1.477
Double,2B,7975,9723.0,1.219
Error,RBOE,1441,1487.0,1.032
Sac Bunt,SAC,1642,1560.0,0.950
Single,1B,26542,24866.0,0.937
Passed Ball,PB,276,255.0,0.924
Interference,INT,33,30.0,0.909
Wild Pitch,WP,1531,1360.0,0.888
Balk,BK,132,113.0,0.856
Hit by Pitch,HBP,1544,1311.0,0.849
Fielder's Choice,FC,435,361.0,0.830
Foul Error,FLE,35,28.0,0.800
Non-Intentional Walk,NIBB,12586,9643.0,0.766
Intentional Walk,IBB,839,574.0,0.684
Stolen Base,SB,2173,1453.0,0.669
Bunt,BUNT,696,284.0,0.408
Defensive Indifference,DI,138,54.0,0.391
Pickoff,PK,498,171.0,0.343
Out (on Batted Ball),OUT,81449,16774.0,0.206
Other,OTHER,89,17.0,0.191
Strikeout,K,35711,6390.0,0.179
Caught Stealing,CS,741,101.0,0.136
