bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.483,0.248,0.099,37436,26817,21425
1B _ _,0.883,0.496,0.212,8119,9258,9735
_ 2B _,1.123,0.659,0.327,3047,5125,6300
_ _ 3B,1.316,0.955,0.351,604,1851,2550
1B 2B _,1.477,0.886,0.406,2148,3645,4853
1B _ 3B,1.817,1.212,0.477,931,1668,2156
_ 2B 3B,2.028,1.396,0.547,536,1344,1308
1B 2B 3B,2.305,1.550,0.757,518,1249,1525
