bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.523,0.277,0.103,43404,31125,24753
1B _ _,0.906,0.544,0.229,9751,11309,10999
_ 2B _,1.170,0.698,0.327,3348,5491,6830
_ _ 3B,1.423,0.949,0.361,466,1875,2900
1B 2B _,1.515,0.942,0.458,2574,4659,5734
1B _ 3B,1.867,1.219,0.528,937,2022,2568
_ 2B 3B,1.986,1.379,0.632,627,1603,1840
1B 2B 3B,2.324,1.535,0.778,688,1743,2100
