bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.446,0.230,0.082,34197,24349,19246
1B _ _,0.822,0.484,0.190,7850,8762,8930
_ 2B _,1.061,0.631,0.299,2472,4799,5653
_ _ 3B,1.254,0.919,0.351,532,1568,2216
1B 2B _,1.471,0.890,0.421,1927,3531,4458
1B _ 3B,1.709,1.140,0.459,760,1620,2002
_ 2B 3B,1.852,1.336,0.605,486,1225,1304
1B 2B 3B,2.194,1.498,0.779,484,1216,1454
