Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5698,10876.0,1.909
Triple,3B,696,1142.0,1.641
Double,2B,8001,10285.0,1.285
Fielder's Choice,FC,627,753.0,1.201
Sac Bunt,SAC,664,753.0,1.134
Passed Ball,PB,190,203.0,1.068
Single,1B,24834,24602.0,0.991
Error,RBOE,966,910.0,0.942
Hit by Pitch,HBP,2025,1858.0,0.918
Intentional Walk,IBB,367,335.0,0.913
Balk,BK,200,181.0,0.905
Wild Pitch,WP,1420,1211.0,0.853
Non-Intentional Walk,NIBB,14788,12057.0,0.815
Stolen Base,SB,2943,2168.0,0.737
Interference,INT,94,68.0,0.723
Bunt,BUNT,370,185.0,0.500
Defensive Indifference,DI,112,48.0,0.429
Other,OTHER,63,18.0,0.286
Pickoff,PK,445,127.0,0.285
Foul Error,FLE,26,6.0,0.231
Out (on Batted Ball),OUT,78308,17639.0,0.225
Strikeout,K,40190,8190.0,0.204
Caught Stealing,CS,604,72.0,0.119
