Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5499,10870.0,1.977
Triple,3B,930,1489.0,1.601
Interference,INT,19,29.0,1.526
Double,2B,8651,11510.0,1.330
Error,RBOE,1906,2168.0,1.137
Passed Ball,PB,270,301.0,1.115
Hit by Pitch,HBP,1514,1621.0,1.071
Single,1B,28148,29669.0,1.054
Wild Pitch,WP,1328,1308.0,0.985
Sac Bunt,SAC,2082,1986.0,0.954
Non-Intentional Walk,NIBB,16322,14778.0,0.905
Balk,BK,152,136.0,0.895
Stolen Base,SB,2461,2023.0,0.822
Intentional Walk,IBB,1089,891.0,0.818
Fielder's Choice,FC,401,284.0,0.708
Defensive Indifference,DI,110,60.0,0.545
Bunt,BUNT,646,316.0,0.489
Pickoff,PK,562,264.0,0.470
Foul Error,FLE,49,22.0,0.449
Out (on Batted Ball),OUT,86061,21454.0,0.249
Strikeout,K,29878,6518.0,0.218
Caught Stealing,CS,895,153.0,0.171
Other,OTHER,43,4.0,0.093
