bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.395,0.202,0.064,21171,14682,11572
1B _ _,0.717,0.444,0.167,5365,5439,4624
_ 2B _,0.947,0.603,0.288,1207,3205,3962
_ _ 3B,1.174,0.878,0.323,482,1388,1866
1B 2B _,1.299,0.763,0.390,1082,1885,2075
1B _ 3B,1.605,1.227,0.584,397,927,682
_ 2B 3B,1.657,1.285,0.485,271,1024,1141
1B 2B 3B,2.234,1.516,0.657,338,673,794
