bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.514,0.250,0.087,21186,14129,11172
1B _ _,0.932,0.524,0.218,5792,5660,4757
_ 2B _,1.123,0.711,0.331,1490,3431,4481
_ _ 3B,1.388,1.012,0.410,611,1647,2164
1B 2B _,1.655,0.965,0.433,1391,2101,2287
1B _ 3B,1.990,1.282,0.577,573,1021,724
_ 2B 3B,2.058,1.555,0.618,360,1199,1289
1B 2B 3B,2.436,1.709,0.844,431,829,872
