bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.490,0.264,0.098,43162,31769,25547
1B _ _,0.885,0.528,0.224,9368,11378,11423
_ 2B _,1.125,0.669,0.346,3178,4843,6464
_ _ 3B,1.406,0.969,0.340,394,1598,2559
1B 2B _,1.498,0.931,0.443,2444,4106,5057
1B _ 3B,1.941,1.215,0.494,819,1741,2200
_ 2B 3B,2.008,1.389,0.580,620,1480,1907
1B 2B 3B,2.361,1.612,0.810,653,1390,1785
