bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.525,0.287,0.112,21084,14812,11588
1B _ _,0.911,0.568,0.236,5402,6330,6373
_ 2B _,1.171,0.707,0.358,1277,2511,3143
_ _ 3B,1.500,0.995,0.394,306,804,1144
1B 2B _,1.648,1.003,0.467,1355,2433,3233
1B _ 3B,1.847,1.306,0.543,490,1062,1163
_ 2B 3B,2.105,1.443,0.600,267,787,725
1B 2B 3B,2.528,1.660,0.719,369,876,1055
