bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.511,0.267,0.102,42986,31383,25244
1B _ _,0.921,0.532,0.226,9563,11533,11569
_ 2B _,1.158,0.688,0.329,3165,4763,6176
_ _ 3B,1.376,0.971,0.369,431,1465,2447
1B 2B _,1.538,0.917,0.445,2500,4112,5164
1B _ 3B,1.768,1.127,0.475,836,1710,2289
_ 2B 3B,2.142,1.401,0.573,643,1486,1744
1B 2B 3B,2.495,1.701,0.820,725,1581,2004
