bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.546,0.283,0.103,20934,13886,10657
1B _ _,0.939,0.549,0.231,5984,6328,5819
_ 2B _,1.237,0.751,0.359,1320,3321,3829
_ _ 3B,1.460,1.036,0.429,504,1372,1952
1B 2B _,1.715,1.032,0.452,1356,2230,2538
1B _ 3B,1.951,1.315,0.592,554,1197,1139
_ 2B 3B,2.185,1.496,0.665,336,1118,1151
1B 2B 3B,2.433,1.580,0.775,386,728,901
