Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,2421,4516.0,1.865
Triple,3B,723,1058.0,1.463
Interference,INT,21,29.0,1.381
Double,2B,4480,5102.0,1.139
Wild Pitch,WP,1001,898.0,0.897
Passed Ball,PB,278,243.0,0.874
Single,1B,21114,18175.0,0.861
Error,RBOE,1575,1307.0,0.830
Intentional Walk,IBB,1233,1001.0,0.812
Sac Bunt,SAC,2296,1863.0,0.811
Balk,BK,88,68.0,0.773
Fielder's Choice,FC,391,289.0,0.739
Non-Intentional Walk,NIBB,9929,6723.0,0.677
Stolen Base,SB,1720,1157.0,0.673
Hit by Pitch,HBP,721,481.0,0.667
Foul Error,FLE,77,42.0,0.545
Bunt,BUNT,419,182.0,0.434
Pickoff,PK,457,174.0,0.381
Other,OTHER,48,12.0,0.250
Out (on Batted Ball),OUT,68938,12064.0,0.175
Strikeout,K,19658,3101.0,0.158
Caught Stealing,CS,865,77.0,0.089
