bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.460,0.240,0.085,37110,26650,21181
1B _ _,0.837,0.502,0.198,8157,9281,9430
_ 2B _,1.072,0.661,0.314,2802,5190,6266
_ _ 3B,1.248,0.929,0.359,629,1850,2523
1B 2B _,1.471,0.850,0.414,1974,3642,4828
1B _ 3B,1.643,1.138,0.457,828,1729,2277
_ 2B 3B,1.867,1.327,0.532,489,1394,1375
1B 2B 3B,2.269,1.471,0.740,532,1307,1560
