bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.478,0.255,0.097,43053,31674,25439
1B _ _,0.871,0.513,0.208,9356,11707,11795
_ 2B _,1.092,0.673,0.311,3135,4720,6244
_ _ 3B,1.263,0.983,0.383,380,1430,2377
1B 2B _,1.454,0.913,0.444,2388,4183,5242
1B _ 3B,1.770,1.149,0.510,819,1775,2280
_ 2B 3B,2.023,1.420,0.559,599,1437,1658
1B 2B 3B,2.413,1.535,0.786,635,1414,1789
