bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.492,0.257,0.100,19810,13891,10739
1B _ _,0.884,0.525,0.218,5070,5876,5840
_ 2B _,1.174,0.708,0.351,1181,2469,3061
_ _ 3B,1.436,0.953,0.393,326,790,1100
1B 2B _,1.601,0.942,0.456,1218,2364,3349
1B _ 3B,1.700,1.229,0.488,454,955,1104
_ 2B 3B,1.886,1.518,0.594,254,716,722
1B 2B 3B,2.264,1.597,0.777,345,906,1059
