Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5367,10086.0,1.879
Triple,3B,818,1310.0,1.601
Interference,INT,37,53.0,1.432
Double,2B,7974,10242.0,1.284
Passed Ball,PB,322,346.0,1.075
Error,RBOE,1394,1352.0,0.970
Single,1B,24957,23883.0,0.957
Sac Bunt,SAC,1292,1179.0,0.913
Balk,BK,147,134.0,0.912
Wild Pitch,WP,1594,1424.0,0.893
Fielder's Choice,FC,445,388.0,0.872
Intentional Walk,IBB,831,668.0,0.804
Non-Intentional Walk,NIBB,14153,11307.0,0.799
Hit by Pitch,HBP,1837,1450.0,0.789
Stolen Base,SB,2121,1534.0,0.723
Foul Error,FLE,43,23.0,0.535
Bunt,BUNT,598,241.0,0.403
Pickoff,PK,490,154.0,0.314
Defensive Indifference,DI,126,37.0,0.294
Out (on Batted Ball),OUT,78874,16941.0,0.215
Other,OTHER,98,21.0,0.214
Strikeout,K,39247,7488.0,0.191
Caught Stealing,CS,631,86.0,0.136
