bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.539,0.289,0.110,43588,30874,24567
1B _ _,0.929,0.574,0.243,10129,11364,11042
_ 2B _,1.195,0.687,0.337,3375,5785,7279
_ _ 3B,1.382,0.969,0.365,519,1979,3063
1B 2B _,1.502,0.975,0.459,2600,4551,5691
1B _ 3B,1.815,1.224,0.535,1013,2134,2749
_ 2B 3B,2.048,1.420,0.588,732,1634,1897
1B 2B 3B,2.308,1.603,0.794,669,1661,2075
