Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4780,8990.0,1.881
Triple,3B,895,1373.0,1.534
Double,2B,8040,9787.0,1.217
Error,RBOE,1521,1537.0,1.011
Single,1B,26365,24799.0,0.941
Wild Pitch,WP,1322,1240.0,0.938
Passed Ball,PB,319,293.0,0.918
Sac Bunt,SAC,1965,1739.0,0.885
Fielder's Choice,FC,490,430.0,0.878
Balk,BK,161,135.0,0.839
Interference,INT,23,19.0,0.826
Hit by Pitch,HBP,1419,1137.0,0.801
Intentional Walk,IBB,946,746.0,0.789
Non-Intentional Walk,NIBB,13087,10041.0,0.767
Stolen Base,SB,2760,1971.0,0.714
Foul Error,FLE,46,31.0,0.674
Defensive Indifference,DI,163,74.0,0.454
Bunt,BUNT,817,332.0,0.406
Pickoff,PK,607,241.0,0.397
Out (on Batted Ball),OUT,82124,17170.0,0.209
Strikeout,K,34613,6288.0,0.182
Caught Stealing,CS,734,97.0,0.132
Other,OTHER,101,10.0,0.099
