bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.553,0.301,0.116,28622,20287,16179
1B _ _,0.944,0.573,0.250,6580,7518,7378
_ 2B _,1.178,0.731,0.368,2348,3838,4808
_ _ 3B,1.454,1.001,0.408,412,1440,2026
1B 2B _,1.602,0.923,0.469,1650,2977,3731
1B _ 3B,1.765,1.171,0.540,664,1414,1967
_ 2B 3B,2.066,1.485,0.683,422,1113,1260
1B 2B 3B,2.378,1.576,0.795,423,1081,1369
