bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.400,0.195,0.064,21308,14717,11646
1B _ _,0.776,0.446,0.173,5577,5551,4911
_ 2B _,0.975,0.595,0.281,1186,3274,4066
_ _ 3B,1.254,0.857,0.356,422,1287,1832
1B 2B _,1.504,0.901,0.376,1165,1897,2223
1B _ 3B,1.616,1.187,0.493,443,921,766
_ 2B 3B,1.939,1.312,0.609,263,954,1099
1B 2B 3B,2.323,1.560,0.677,325,648,801
