Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,6543,12519.0,1.913
Triple,3B,763,1204.0,1.578
Double,2B,8231,10645.0,1.293
Fielder's Choice,FC,504,561.0,1.113
Error,RBOE,1362,1460.0,1.072
Interference,INT,59,60.0,1.017
Wild Pitch,WP,1573,1592.0,1.012
Balk,BK,150,151.0,1.007
Single,1B,24639,24621.0,0.999
Sac Bunt,SAC,1047,1021.0,0.975
Hit by Pitch,HBP,1901,1796.0,0.945
Passed Ball,PB,305,288.0,0.944
Non-Intentional Walk,NIBB,14504,12195.0,0.841
Foul Error,FLE,51,40.0,0.784
Intentional Walk,IBB,659,508.0,0.771
Stolen Base,SB,1910,1370.0,0.717
Bunt,BUNT,472,212.0,0.449
Other,OTHER,98,38.0,0.388
Pickoff,PK,473,176.0,0.372
Defensive Indifference,DI,121,38.0,0.314
Out (on Batted Ball),OUT,77600,17836.0,0.230
Strikeout,K,40886,8418.0,0.206
Caught Stealing,CS,515,84.0,0.163
