Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4281,8193.0,1.914
Triple,3B,860,1281.0,1.490
Double,2B,6570,8408.0,1.280
Error,RBOE,1746,1904.0,1.090
Passed Ball,PB,359,382.0,1.064
Wild Pitch,WP,1203,1270.0,1.056
Single,1B,24299,23845.0,0.981
Sac Bunt,SAC,1877,1797.0,0.957
Balk,BK,349,321.0,0.920
Hit by Pitch,HBP,817,735.0,0.900
Intentional Walk,IBB,1144,1024.0,0.895
Non-Intentional Walk,NIBB,12599,10331.0,0.820
Defensive Indifference,DI,5,4.0,0.800
Interference,INT,28,22.0,0.786
Fielder's Choice,FC,640,495.0,0.773
Stolen Base,SB,3234,2494.0,0.771
Foul Error,FLE,53,32.0,0.604
Pickoff,PK,473,210.0,0.444
Bunt,BUNT,686,290.0,0.423
Other,OTHER,55,19.0,0.345
Out (on Batted Ball),OUT,76084,17105.0,0.225
Strikeout,K,23936,4957.0,0.207
Caught Stealing,CS,1229,168.0,0.137
