bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.433,0.213,0.070,19197,13115,10218
1B _ _,0.811,0.476,0.165,5097,5216,4656
_ 2B _,1.025,0.636,0.310,1109,2949,3627
_ _ 3B,1.307,0.889,0.384,374,1246,1681
1B 2B _,1.503,0.896,0.375,1118,1787,2101
1B _ 3B,1.638,1.223,0.509,412,948,727
_ 2B 3B,1.975,1.381,0.599,244,984,1028
1B 2B 3B,2.308,1.585,0.723,318,612,692
