bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.533,0.265,0.090,20267,13613,10412
1B _ _,0.939,0.533,0.216,5659,6220,5651
_ 2B _,1.256,0.727,0.352,1334,2915,3510
_ _ 3B,1.370,1.014,0.390,451,1212,1776
1B 2B _,1.683,1.012,0.490,1247,2114,2582
1B _ 3B,1.942,1.225,0.546,638,1292,1279
_ 2B 3B,2.077,1.451,0.662,363,1014,1010
1B 2B 3B,2.479,1.596,0.742,374,769,832
