Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,3467,6470.0,1.866
Triple,3B,936,1455.0,1.554
Interference,INT,15,19.0,1.267
Double,2B,6191,7814.0,1.262
Error,RBOE,1815,1806.0,0.995
Sac Bunt,SAC,1798,1725.0,0.959
Single,1B,24353,22932.0,0.942
Wild Pitch,WP,1031,963.0,0.934
Passed Ball,PB,298,270.0,0.906
Balk,BK,223,202.0,0.906
Intentional Walk,IBB,1172,1030.0,0.879
Defensive Indifference,DI,6,5.0,0.833
Fielder's Choice,FC,419,349.0,0.833
Hit by Pitch,HBP,672,558.0,0.830
Stolen Base,SB,2801,2212.0,0.790
Non-Intentional Walk,NIBB,11989,9185.0,0.766
Pickoff,PK,460,217.0,0.472
Bunt,BUNT,588,275.0,0.468
Other,OTHER,48,19.0,0.396
Foul Error,FLE,55,18.0,0.327
Out (on Batted Ball),OUT,78967,16484.0,0.209
Strikeout,K,21448,4046.0,0.189
Caught Stealing,CS,1153,198.0,0.172
