Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,5499,10500.0,1.909
Triple,3B,605,879.0,1.453
Double,2B,7518,9636.0,1.282
Sac Bunt,SAC,794,930.0,1.171
Fielder's Choice,FC,657,750.0,1.142
Interference,INT,82,88.0,1.073
Balk,BK,172,169.0,0.983
Error,RBOE,927,895.0,0.965
Single,1B,24922,24059.0,0.965
Passed Ball,PB,193,177.0,0.917
Wild Pitch,WP,1289,1176.0,0.912
Hit by Pitch,HBP,1855,1643.0,0.886
Non-Intentional Walk,NIBB,14289,11749.0,0.822
Intentional Walk,IBB,413,324.0,0.785
Stolen Base,SB,2983,2130.0,0.714
Defensive Indifference,DI,143,69.0,0.483
Bunt,BUNT,375,170.0,0.453
Foul Error,FLE,34,14.0,0.412
Pickoff,PK,505,160.0,0.317
Other,OTHER,71,16.0,0.225
Out (on Batted Ball),OUT,79426,17356.0,0.219
Strikeout,K,39156,7476.0,0.191
Caught Stealing,CS,686,87.0,0.127
