bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.519,0.273,0.090,20282,13729,10394
1B _ _,0.900,0.554,0.221,5586,6198,5929
_ 2B _,1.182,0.759,0.361,1309,3086,3442
_ _ 3B,1.513,1.007,0.376,429,1186,1826
1B 2B _,1.548,0.998,0.482,1221,2082,2573
1B _ 3B,1.935,1.280,0.550,568,1228,1392
_ 2B 3B,2.127,1.548,0.622,332,966,989
1B 2B 3B,2.471,1.587,0.786,361,748,882
