bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.484,0.251,0.095,37449,27041,21423
1B _ _,0.889,0.520,0.215,8172,9453,9660
_ 2B _,1.086,0.653,0.314,2832,5177,6246
_ _ 3B,1.291,0.944,0.373,612,1827,2559
1B 2B _,1.459,0.907,0.425,1983,3688,4842
1B _ 3B,1.776,1.195,0.486,860,1746,2311
_ 2B 3B,1.948,1.397,0.582,501,1346,1355
1B 2B 3B,2.208,1.504,0.759,480,1297,1523
