1990,PIT,NL
1990,SDN,NL
1990,SFN,NL
1990,SLN,NL
1991,BAL,AL
1991,BOS,AL
1991,CAL,AL
1991,CHA,AL
1991,CLE,AL
1991,DET,AL
1991,KCA,AL
1991,MIL,AL
1991,MIN,AL
1991,NYA,AL
1991,OAK,AL
1991,SEA,AL
1991,TEX,AL
1991,TOR,AL
1991,ATL,NL
1991,CHN,NL
1991,CIN,NL
1991,HOU,NL
1991,LAN,NL
1991,MON,NL
1991,NYN,NL
1991,PHI,NL
1991,PIT,NL
1991,SDN,NL
1991,SFN,NL
1991,SLN,NL
1992,BAL,AL
1992,BOS,AL
1992,CAL,AL
1992,CHA,AL
1992,CLE,AL
1992,DET,AL
1992,KCA,AL
1992,MIL,AL
1992,MIN,AL
1992,NYA,AL
1992,OAK,AL
1992,SEA,AL
1992,TEX,AL
1992,TOR,AL
1992,ATL,NL
1992,CHN,NL
1992,CIN,NL
1992,HOU,NL
1992,LAN,NL
1992,MON,NL
1992,NYN,NL
1992,PHI,NL
1992,PIT,NL
1992,SDN,NL
1992,SFN,NL
1992,SLN,NL
1993,BAL,AL
1993,BOS,AL
1993,CAL,AL
1993,CHA,AL
1993,CLE,AL
1993,DET,AL
1993,KCA,AL
1993,MIL,AL
1993,MIN,AL
1993,NYA,AL
1993,OAK,AL
1993,SEA,AL
1993,TEX,AL
1993,TOR,AL
1993,ATL,NL
1993,CHN,NL
1993,CIN,NL
1993,COL,NL
1993,FLO,NL
1993,HOU,NL
1993,LAN,NL
1993,MON,NL
1993,NYN,NL
1993,PHI,NL
1993,PIT,NL
1993,SDN,NL
1993,SFN,NL
1993,SLN,NL
1994,BAL,AL
1994,BOS,AL
1994,CAL,AL
1994,CHA,AL
1994,CLE,AL
1994,DET,AL
1994,KCA,AL
1994,MIL,AL
1994,MIN,AL
1994,NYA,AL
1994,OAK,AL
1994,SEA,AL
1994,TEX,AL
1994,TOR,AL
1994,ATL,NL
1994,CHN,NL
1994,CIN,NL
1994,COL,NL
1994,FLO,NL
1994,HOU,NL
1994,LAN,NL
1994,MON,NL
1994,NYN,NL
1994,PHI,NL
1994,PIT,NL
1994,SDN,NL
1994,SFN,NL
1994,SLN,NL
1995,BAL,AL
1995,BOS,AL
1995,CAL,AL
1995,CHA,AL
1995,CLE,AL
1995,DET,AL
1995,KCA,AL
1995,MIL,AL
1995,MIN,AL
1995,NYA,AL
1995,OAK,AL
1995,SEA,AL
1995,TEX,AL
1995,TOR,AL
1995,ATL,NL
1995,CHN,NL
1995,CIN,NL
1995,COL,NL
1995,FLO,NL
1995,HOU,NL
1995,LAN,NL
1995,MON,NL
1995,NYN,NL
1995,PHI,NL
1995,PIT,NL
1995,SDN,NL
1995,SFN,NL
1995,SLN,NL
1996,BAL,AL
1996,BOS,AL
1996,CAL,AL
1996,CHA,AL
1996,CLE,AL
1996,DET,AL
1996,KCA,AL
1996,MIL,AL
1996,MIN,AL
1996,NYA,AL
1996,OAK,AL
1996,SEA,AL
1996,TEX,AL
1996,TOR,AL
1996,ATL,NL
1996,CHN,NL
1996,CIN,NL
1996,COL,NL
1996,FLO,NL
1996,HOU,NL
1996,LAN,NL
1996,MON,NL
1996,NYN,NL
1996,PHI,NL
1996,PIT,NL
1996,SDN,NL
1996,SFN,NL
1996,SLN,NL
1997,ANA,AL
1997,BAL,AL
1997,BOS,AL
1997,CHA,AL
1997,CLE,AL
1997,DET,AL
1997,KCA,AL
1997,MIL,AL
1997,MIN,AL
1997,NYA,AL
1997,OAK,AL
1997,SEA,AL
1997,TEX,AL
1997,TOR,AL
1997,ATL,NL
1997,CHN,NL
1997,CIN,NL
1997,COL,NL
1997,FLO,NL
1997,HOU,NL
1997,LAN,NL
1997,MON,NL
1997,NYN,NL
1997,PHI,NL
1997,PIT,NL
1997,SDN,NL
1997,SFN,NL
1997,SLN,NL
1998,ANA,AL
1998,BAL,AL
1998,BOS,AL
1998,CHA,AL
1998,CLE,AL
1998,DET,AL
1998,KCA,AL
1998,MIN,AL
1998,NYA,AL
1998,OAK,AL
1998,SEA,AL
1998,TBA,AL
1998,TEX,AL
1998,TOR,AL
1998,ARI,NL
1998,ATL,NL
1998,CHN,NL
1998,CIN,NL
1998,COL,NL
1998,FLO,NL
1998,HOU,NL
1998,LAN,NL
1998,MIL,NL
1998,MON,NL
1998,NYN,NL
1998,PHI,NL
1998,PIT,NL
1998,SDN,NL
1998,SFN,NL
1998,SLN,NL
1999,ANA,AL
1999,BAL,AL
1999,BOS,AL
1999,CHA,AL
1999,CLE,AL
1999,DET,AL
1999,KCA,AL
1999,MIN,AL
1999,NYA,AL
1999,OAK,AL
1999,SEA,AL
1999,TBA,AL
1999,TEX,AL
1999,TOR,AL
1999,ARI,NL
1999,ATL,NL
1999,CHN,NL
1999,CIN,NL
1999,COL,NL
1999,FLO,NL
1999,HOU,NL
1999,LAN,NL
1999,MIL,NL
1999,MON,NL
1999,NYN,NL
1999,PHI,NL
1999,PIT,NL
1999,SDN,NL
1999,SFN,NL
1999,SLN,NL
2000,ANA,AL
2000,BAL,AL
2000,BOS,AL
2000,CHA,AL
2000,CLE,AL
2000,DET,AL
2000,KCA,AL
2000,MIN,AL
2000,NYA,AL
2000,OAK,AL
2000,SEA,AL
2000,TBA,AL
2000,TEX,AL
2000,TOR,AL
2000,ARI,NL
