bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.521,0.282,0.109,43422,31047,24825
1B _ _,0.907,0.552,0.237,9902,11305,11202
_ 2B _,1.142,0.697,0.352,3273,5424,6970
_ _ 3B,1.533,0.984,0.373,484,1906,2822
1B 2B _,1.487,0.930,0.445,2572,4608,5698
1B _ 3B,1.835,1.196,0.498,902,2115,2678
_ 2B 3B,2.059,1.429,0.614,640,1506,1684
1B 2B 3B,2.354,1.559,0.758,653,1677,2101
