bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.425,0.208,0.072,21102,14441,11563
1B _ _,0.799,0.448,0.171,5527,5464,4773
_ 2B _,1.014,0.656,0.294,1249,3243,4104
_ _ 3B,1.290,0.909,0.344,528,1407,1843
1B 2B _,1.456,0.899,0.387,1233,1857,2176
1B _ 3B,1.592,1.207,0.472,458,902,709
_ 2B 3B,1.997,1.330,0.578,303,1053,1077
1B 2B 3B,2.397,1.583,0.726,350,681,736
