bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.454,0.240,0.090,34585,24726,19717
1B _ _,0.827,0.490,0.199,8205,9310,9513
_ 2B _,1.049,0.652,0.327,2100,4091,5289
_ _ 3B,1.236,0.851,0.353,488,1364,1929
1B 2B _,1.483,0.909,0.440,1847,3354,4563
1B _ 3B,1.714,1.045,0.462,801,1672,2154
_ 2B 3B,1.858,1.292,0.549,437,1173,1179
1B 2B 3B,2.410,1.537,0.787,459,1270,1599
