Event,code,N,Runs to End of Inning,Average Runs
Home Run,HR,4887,9281.0,1.899
Triple,3B,874,1342.0,1.535
Double,2B,8490,11257.0,1.326
Error,RBOE,1760,1770.0,1.006
Single,1B,28126,28080.0,0.998
Wild Pitch,WP,1401,1378.0,0.984
Sac Bunt,SAC,2211,2118.0,0.958
Hit by Pitch,HBP,1530,1445.0,0.944
Fielder's Choice,FC,502,471.0,0.938
Passed Ball,PB,331,302.0,0.912
Intentional Walk,IBB,932,823.0,0.883
Non-Intentional Walk,NIBB,14739,12502.0,0.848
Balk,BK,200,163.0,0.815
Stolen Base,SB,2813,2122.0,0.754
Interference,INT,22,13.0,0.591
Foul Error,FLE,48,28.0,0.583
Pickoff,PK,484,218.0,0.450
Bunt,BUNT,687,293.0,0.426
Other,OTHER,55,19.0,0.345
Defensive Indifference,DI,27,9.0,0.333
Out (on Batted Ball),OUT,85720,19793.0,0.231
Strikeout,K,30490,6415.0,0.210
Caught Stealing,CS,1169,188.0,0.161
