bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.430,0.207,0.071,21213,14490,11562
1B _ _,0.814,0.465,0.172,5540,5291,4498
_ 2B _,1.020,0.630,0.298,1269,3430,4151
_ _ 3B,1.260,0.899,0.348,527,1484,1913
1B 2B _,1.504,0.838,0.398,1263,1915,2292
1B _ 3B,1.673,1.239,0.482,444,936,682
_ 2B 3B,2.017,1.438,0.565,303,1142,1170
1B 2B 3B,2.438,1.579,0.705,395,780,844
