bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.573,0.296,0.104,19762,13109,10042
1B _ _,0.976,0.583,0.232,5651,6196,5785
_ 2B _,1.276,0.792,0.373,1339,2884,3396
_ _ 3B,1.434,1.096,0.401,442,1192,1680
1B 2B _,1.669,1.058,0.503,1307,2262,2592
1B _ 3B,1.969,1.350,0.544,638,1291,1292
_ 2B 3B,2.175,1.608,0.672,360,971,1022
1B 2B 3B,2.497,1.734,0.876,316,777,844
