bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.497,0.263,0.099,37498,26818,21475
1B _ _,0.857,0.526,0.232,8481,9568,9352
_ 2B _,1.125,0.685,0.319,2755,4966,6108
_ _ 3B,1.340,0.925,0.350,541,1792,2631
1B 2B _,1.467,0.863,0.437,2034,3804,4913
1B _ 3B,1.737,1.123,0.503,891,1787,2229
_ 2B 3B,1.972,1.388,0.620,500,1292,1481
1B 2B 3B,2.528,1.466,0.776,496,1298,1562
