bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.533,0.274,0.098,20157,13498,10240
1B _ _,0.923,0.541,0.217,5615,6291,5685
_ 2B _,1.196,0.736,0.341,1305,2918,3668
_ _ 3B,1.430,0.957,0.424,454,1204,1701
1B 2B _,1.645,1.016,0.474,1218,2160,2614
1B _ 3B,1.898,1.224,0.587,588,1214,1192
_ 2B 3B,1.997,1.538,0.693,357,978,1040
1B 2B 3B,2.522,1.793,0.889,356,740,829
