bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.442,0.234,0.089,28750,20907,16652
1B _ _,0.803,0.470,0.193,6502,7720,7908
_ 2B _,1.059,0.638,0.322,1753,3406,4258
_ _ 3B,1.289,0.897,0.346,412,1117,1576
1B 2B _,1.430,0.857,0.412,1360,2613,3712
1B _ 3B,1.582,1.169,0.495,625,1281,1661
_ 2B 3B,1.869,1.306,0.551,358,952,1005
1B 2B 3B,2.432,1.436,0.722,340,909,1167
