bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.464,0.241,0.088,37305,26804,21386
1B _ _,0.854,0.501,0.198,8357,9578,9583
_ 2B _,1.071,0.673,0.311,2695,4904,5998
_ _ 3B,1.302,0.946,0.343,507,1867,2589
1B 2B _,1.476,0.912,0.396,1957,3665,4839
1B _ 3B,1.763,1.138,0.443,852,1755,2314
_ 2B 3B,1.839,1.339,0.512,522,1417,1472
1B 2B 3B,2.240,1.584,0.709,492,1261,1543
