bases,0 outs,1 out,2 outs,n_0,n_1,n_2
_ _ _,0.536,0.272,0.097,20461,13650,10471
1B _ _,0.941,0.564,0.224,5821,6336,5742
_ 2B _,1.142,0.733,0.366,1305,2991,3720
_ _ 3B,1.419,0.997,0.380,430,1189,1798
1B 2B _,1.654,1.013,0.504,1303,2231,2623
1B _ 3B,1.966,1.245,0.582,618,1175,1242
_ 2B 3B,2.252,1.514,0.645,318,977,1109
1B 2B 3B,2.754,1.799,0.886,342,773,919
